model_name,tm_score
afm_dropout_full_model_3_multimer_v3_pred_19.pdb,0.923
afm_dropout_full_model_2_multimer_v1_pred_66.pdb,0.923
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_51.pdb,0.923
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_51.pdb,0.923
afm_woTemplates_model_2_multimer_v3_pred_18.pdb,0.923
afm_woTemplates_model_3_multimer_v3_pred_49.pdb,0.923
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_51.pdb,0.923
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_21.pdb,0.923
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_29.pdb,0.923
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_43.pdb,0.923
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_12.pdb,0.923
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_23.pdb,0.923
afm_basic_model_5_multimer_v1_pred_51.pdb,0.923
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_61.pdb,0.922
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_43.pdb,0.922
afm_dropout_full_model_2_multimer_v3_pred_47.pdb,0.922
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_19.pdb,0.922
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.922
afm_basic_model_2_multimer_v3_pred_58.pdb,0.922
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_18.pdb,0.922
afm_dropout_full_model_2_multimer_v3_pred_4.pdb,0.922
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_34.pdb,0.922
afm_basic_model_2_multimer_v3_pred_38.pdb,0.922
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_10.pdb,0.922
afm_dropout_full_model_4_multimer_v3_pred_61.pdb,0.922
afm_dropout_full_model_2_multimer_v3_pred_24.pdb,0.922
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_58.pdb,0.922
afm_dropout_full_model_5_multimer_v1_pred_14.pdb,0.922
afm_basic_model_5_multimer_v1_pred_37.pdb,0.922
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_31.pdb,0.922
afm_dropout_full_model_3_multimer_v3_pred_17.pdb,0.922
afm_woTemplates_model_3_multimer_v3_pred_23.pdb,0.922
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_13.pdb,0.922
afm_basic_model_2_multimer_v3_pred_37.pdb,0.922
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_57.pdb,0.922
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_3.pdb,0.922
afm_dropout_full_model_2_multimer_v3_pred_22.pdb,0.922
