model_name,tm_score
afm_basic_model_3_multimer_v2_pred_14.pdb,0.731
afm_basic_model_3_multimer_v2_pred_0.pdb,0.731
afm_dropout_full_model_3_multimer_v2_pred_6.pdb,0.731
afm_basic_model_4_multimer_v2_pred_4.pdb,0.731
afm_basic_model_4_multimer_v2_pred_3.pdb,0.731
afm_dropout_full_model_3_multimer_v2_pred_14.pdb,0.731
afm_basic_model_3_multimer_v2_pred_2.pdb,0.73
afm_basic_model_3_multimer_v2_pred_12.pdb,0.73
afm_basic_model_4_multimer_v2_pred_16.pdb,0.73
afm_dropout_full_model_3_multimer_v2_pred_1.pdb,0.73
afm_dropout_full_model_4_multimer_v2_pred_16.pdb,0.73
afm_dropout_full_model_5_multimer_v2_pred_15.pdb,0.73
afm_dropout_full_model_5_multimer_v2_pred_5.pdb,0.73
afm_basic_model_3_multimer_v2_pred_7.pdb,0.73
afm_basic_model_3_multimer_v2_pred_3.pdb,0.73
afm_basic_model_3_multimer_v2_pred_10.pdb,0.73
afm_basic_model_3_multimer_v2_pred_6.pdb,0.73
afm_dropout_full_model_3_multimer_v2_pred_16.pdb,0.73
afm_basic_model_5_multimer_v2_pred_12.pdb,0.73
afm_dropout_full_model_3_multimer_v2_pred_4.pdb,0.73
afm_dropout_full_model_3_multimer_v2_pred_9.pdb,0.73
afm_basic_model_3_multimer_v2_pred_8.pdb,0.73
afm_dropout_full_model_5_multimer_v2_pred_12.pdb,0.73
afm_dropout_full_model_5_multimer_v2_pred_14.pdb,0.73
afm_basic_model_4_multimer_v1_pred_6.pdb,0.73
afm_dropout_full_model_1_multimer_v2_pred_9.pdb,0.73
afm_basic_model_3_multimer_v2_pred_13.pdb,0.73
afm_dropout_full_model_3_multimer_v2_pred_10.pdb,0.73
afm_dropout_full_model_4_multimer_v2_pred_13.pdb,0.73
afm_dropout_full_model_3_multimer_v2_pred_3.pdb,0.73
afm_basic_model_3_multimer_v2_pred_11.pdb,0.73
afm_basic_model_3_multimer_v2_pred_5.pdb,0.73
afm_dropout_full_model_5_multimer_v2_pred_11.pdb,0.73
afm_basic_model_5_multimer_v1_pred_2.pdb,0.73
afm_basic_model_2_multimer_v1_pred_4.pdb,0.73
afm_dropout_full_model_5_multimer_v2_pred_1.pdb,0.73
afm_basic_model_5_multimer_v2_pred_16.pdb,0.73
afm_basic_model_5_multimer_v2_pred_3.pdb,0.729
afm_basic_model_1_multimer_v2_pred_10.pdb,0.729
afm_basic_model_1_multimer_v2_pred_11.pdb,0.729
afm_dropout_full_model_3_multimer_v2_pred_13.pdb,0.729
afm_dropout_full_model_5_multimer_v2_pred_3.pdb,0.729
afm_basic_model_5_multimer_v2_pred_1.pdb,0.729
afm_dropout_full_model_1_multimer_v2_pred_0.pdb,0.729
afm_dropout_full_model_5_multimer_v2_pred_7.pdb,0.729
afm_dropout_full_model_3_multimer_v2_pred_5.pdb,0.729
afm_basic_model_5_multimer_v2_pred_15.pdb,0.729
afm_dropout_full_model_4_multimer_v2_pred_2.pdb,0.729
afm_dropout_full_model_4_multimer_v2_pred_12.pdb,0.729
afm_dropout_full_model_1_multimer_v2_pred_13.pdb,0.729
afm_dropout_full_model_3_multimer_v2_pred_0.pdb,0.729
afm_dropout_full_model_4_multimer_v2_pred_3.pdb,0.729
afm_dropout_full_model_5_multimer_v2_pred_6.pdb,0.729
afm_basic_model_5_multimer_v2_pred_5.pdb,0.729
afm_dropout_full_model_5_multimer_v2_pred_8.pdb,0.729
afm_basic_model_5_multimer_v2_pred_10.pdb,0.729
afm_dropout_full_model_1_multimer_v2_pred_10.pdb,0.729
afm_basic_model_3_multimer_v2_pred_1.pdb,0.729
afm_basic_model_1_multimer_v2_pred_12.pdb,0.729
afm_dropout_full_model_4_multimer_v2_pred_15.pdb,0.729
afm_dropout_full_model_1_multimer_v2_pred_16.pdb,0.729
afm_basic_model_5_multimer_v2_pred_13.pdb,0.729
afm_basic_model_5_multimer_v2_pred_6.pdb,0.729
afm_basic_model_1_multimer_v2_pred_3.pdb,0.729
afm_dropout_full_model_1_multimer_v2_pred_2.pdb,0.729
afm_dropout_full_model_3_multimer_v2_pred_11.pdb,0.729
afm_basic_model_5_multimer_v2_pred_4.pdb,0.729
afm_dropout_full_model_1_multimer_v2_pred_5.pdb,0.728
afm_basic_model_1_multimer_v2_pred_4.pdb,0.728
afm_dropout_full_model_1_multimer_v2_pred_15.pdb,0.728
afm_basic_model_1_multimer_v2_pred_6.pdb,0.728
afm_basic_model_5_multimer_v2_pred_0.pdb,0.728
afm_basic_model_5_multimer_v2_pred_7.pdb,0.728
afm_dropout_full_model_1_multimer_v2_pred_6.pdb,0.728
afm_basic_model_1_multimer_v2_pred_15.pdb,0.728
afm_dropout_full_model_2_multimer_v2_pred_10.pdb,0.728
afm_basic_model_2_multimer_v2_pred_7.pdb,0.728
afm_basic_model_1_multimer_v2_pred_16.pdb,0.728
afm_basic_model_1_multimer_v2_pred_1.pdb,0.728
afm_basic_model_1_multimer_v2_pred_7.pdb,0.728
afm_basic_model_2_multimer_v2_pred_6.pdb,0.728
afm_basic_model_1_multimer_v2_pred_8.pdb,0.728
afm_basic_model_2_multimer_v2_pred_2.pdb,0.728
afm_dropout_full_model_1_multimer_v2_pred_3.pdb,0.728
afm_basic_model_2_multimer_v2_pred_4.pdb,0.728
afm_basic_model_2_multimer_v2_pred_16.pdb,0.728
afm_basic_model_2_multimer_v2_pred_1.pdb,0.728
afm_basic_model_1_multimer_v2_pred_2.pdb,0.728
afm_dropout_full_model_4_multimer_v2_pred_8.pdb,0.728
afm_dropout_full_model_4_multimer_v1_pred_9.pdb,0.728
afm_dropout_full_model_1_multimer_v2_pred_12.pdb,0.728
afm_basic_model_5_multimer_v2_pred_8.pdb,0.728
afm_basic_model_5_multimer_v2_pred_2.pdb,0.728
afm_basic_model_1_multimer_v2_pred_0.pdb,0.728
afm_dropout_full_model_1_multimer_v2_pred_4.pdb,0.727
afm_dropout_full_model_5_multimer_v2_pred_0.pdb,0.727
afm_dropout_full_model_1_multimer_v2_pred_7.pdb,0.727
afm_basic_model_1_multimer_v2_pred_13.pdb,0.727
afm_dropout_full_model_5_multimer_v2_pred_9.pdb,0.727
afm_basic_model_2_multimer_v2_pred_13.pdb,0.727
afm_basic_model_2_multimer_v2_pred_15.pdb,0.727
afm_basic_model_2_multimer_v2_pred_8.pdb,0.727
afm_basic_model_2_multimer_v2_pred_5.pdb,0.727
afm_dropout_full_model_4_multimer_v2_pred_1.pdb,0.727
afm_dropout_full_model_1_multimer_v2_pred_14.pdb,0.727
afm_basic_model_2_multimer_v2_pred_0.pdb,0.727
afm_basic_model_1_multimer_v2_pred_14.pdb,0.727
afm_basic_model_2_multimer_v2_pred_12.pdb,0.727
afm_basic_model_2_multimer_v2_pred_14.pdb,0.727
afm_basic_model_2_multimer_v2_pred_11.pdb,0.727
afm_dropout_full_model_1_multimer_v2_pred_8.pdb,0.727
afm_basic_model_2_multimer_v2_pred_3.pdb,0.726
afm_dropout_full_model_2_multimer_v2_pred_7.pdb,0.726
afm_basic_model_1_multimer_v2_pred_5.pdb,0.726
afm_basic_model_2_multimer_v1_pred_15.pdb,0.726
afm_basic_model_2_multimer_v2_pred_10.pdb,0.726
afm_dropout_full_model_2_multimer_v2_pred_5.pdb,0.725
