group,dockq_wave,qs_global,dockq_ave,tm_score,T1206_ics,T1206_ilddt,oligo_gdtts,T1206_rmsd,qs_best,T1206_lddt,T1206_ips,oligo_gdtha
QA188_2,1.1727539999999999,0.922118,1.1727539999999999,0.011174000000000019,0.984699,0.3169620000000001,0.04840199999999999,137.91719600000002,0.8298549999999999,0.10045100000000001,0.6660649999999999,0.1598430000000001
QA300_2,0.004550999999999976,4.000000000000007e-05,0.004550999999999976,9.100000000000018e-05,0.004591999999999983,0.010103000000000016,0.001141000000000002,0.27062400000000003,4.000000000000007e-05,0.009981000000000018,0.006304999999999977,0.006855000000000012
QAptm_2,0.005470999999999973,9.100000000000015e-05,0.005470999999999973,0.00014700000000000027,0.004699999999999985,0.014883000000000025,0.001813000000000003,0.4524670000000001,9.100000000000015e-05,0.009199000000000016,0.01203499999999997,0.013159000000000023
QA114_2,0.0021189999999999868,5.200000000000009e-05,0.0021189999999999868,8.000000000000014e-05,0.00048600000000000086,0.0003980000000000008,0.001095000000000002,0.25028700000000004,5.200000000000009e-05,0.002861000000000005,0.004223999999999993,0.004868000000000009
QA050_2,0.004562999999999975,4.7000000000000085e-05,0.004562999999999975,0.00013600000000000024,0.0024699999999999943,0.0013180000000000025,0.0015990000000000028,0.40788900000000006,4.000000000000007e-05,0.0038310000000000067,0.006480999999999983,0.010080000000000018
QA171_2,0.005470999999999973,0.0001750000000000003,0.005470999999999973,0.0001800000000000003,0.0030439999999999977,0.009336000000000018,0.0019670000000000035,0.4807100000000002,7.300000000000013e-05,0.008320000000000015,0.00970099999999997,0.01767500000000003
QA314_2,0.0029999999999999844,9.200000000000018e-05,0.0029999999999999844,8.800000000000016e-05,0.0019039999999999955,0.007894000000000014,0.0010610000000000018,0.2663750000000001,5.9000000000000106e-05,0.0054040000000000095,0.007652999999999977,0.007326000000000013
QA110_2,0.0013400000000000024,0.00010900000000000021,0.0013400000000000024,1.7000000000000034e-05,0.006646999999999978,0.005154000000000009,0.00033600000000000063,0.05767399999999998,8.400000000000014e-05,0.0014550000000000027,0.022804999999999968,0.008758000000000016
QA425_2,0.004535999999999975,8.200000000000015e-05,0.004535999999999975,0.00013600000000000024,0.002145999999999996,0.008013000000000013,0.001663000000000003,0.4189470000000001,7.300000000000013e-05,0.006010000000000011,0.00877299999999997,0.011830000000000021
QA331_2,0.003640999999999981,0.00014400000000000025,0.003640999999999981,0.00012300000000000023,0.0021429999999999978,0.007429000000000012,0.0014790000000000029,0.3491910000000001,7.500000000000013e-05,0.006578000000000012,0.00803299999999997,0.010175000000000019
