model_name,dockq_ave
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_18.pdb,0.475
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_28.pdb,0.475
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_51.pdb,0.475
cf_woTemplates_model_5_multimer_v3_pred_23.pdb,0.475
afm_dropout_full_model_3_multimer_v3_pred_19.pdb,0.475
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_65.pdb,0.475
afm_dropout_full_model_5_multimer_v3_pred_48.pdb,0.475
cf_woTemplates_model_5_multimer_v3_pred_16.pdb,0.475
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_41.pdb,0.475
afm_basic_model_3_multimer_v3_pred_8.pdb,0.475
afm_basic_model_4_multimer_v3_pred_13.pdb,0.475
afm_woTemplates_model_5_multimer_v3_pred_18.pdb,0.475
afm_basic_model_2_multimer_v3_pred_9.pdb,0.475
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_65.pdb,0.475
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_7.pdb,0.475
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_31.pdb,0.475
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_63.pdb,0.475
cf_woTemplates_model_3_multimer_v3_pred_63.pdb,0.475
afm_woTemplates_model_5_multimer_v3_pred_58.pdb,0.475
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_35.pdb,0.475
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_21.pdb,0.475
afm_dropout_full_model_5_multimer_v3_pred_37.pdb,0.475
afm_basic_model_2_multimer_v3_pred_21.pdb,0.475
afm_basic_model_5_multimer_v3_pred_37.pdb,0.475
afm_basic_model_2_multimer_v3_pred_41.pdb,0.475
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_11.pdb,0.475
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_9.pdb,0.475
cf_woTemplates_model_2_multimer_v3_pred_47.pdb,0.474
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_9.pdb,0.474
afm_basic_model_1_multimer_v3_pred_55.pdb,0.474
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_9.pdb,0.474
afm_basic_model_4_multimer_v3_pred_37.pdb,0.474
afm_woTemplates_model_5_multimer_v3_pred_29.pdb,0.474
afm_woTemplates_model_1_multimer_v3_pred_28.pdb,0.474
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_11.pdb,0.474
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_40.pdb,0.474
afm_basic_model_2_multimer_v3_pred_58.pdb,0.474
cf_woTemplates_model_1_multimer_v3_pred_10.pdb,0.474
cf_woTemplates_model_3_multimer_v3_pred_58.pdb,0.474
afm_basic_model_5_multimer_v3_pred_38.pdb,0.474
afm_woTemplates_model_5_multimer_v3_pred_52.pdb,0.474
cf_woTemplates_model_4_multimer_v3_pred_43.pdb,0.474
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_16.pdb,0.474
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_63.pdb,0.474
afm_dropout_full_model_1_multimer_v3_pred_26.pdb,0.474
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_27.pdb,0.474
cf_woTemplates_model_1_multimer_v3_pred_14.pdb,0.474
