model_name,oligo_gdtts
afm_woTemplates_model_2_ptm_pred_13.pdb,0.485
afm_dropout_noSM_woTemplates_model_2_ptm_pred_46.pdb,0.485
afm_dropout_noSM_woTemplates_model_2_ptm_pred_16.pdb,0.485
afm_woTemplates_model_2_ptm_pred_55.pdb,0.485
cf_woTemplates_model_3_ptm_pred_0.pdb,0.485
afm_woTemplates_model_2_ptm_pred_41.pdb,0.485
afm_woTemplates_model_2_ptm_pred_58.pdb,0.483
cf_woTemplates_model_3_ptm_pred_5.pdb,0.483
afm_dropout_full_woTemplates_r3_model_4_ptm_pred_56.pdb,0.483
afm_dropout_full_woTemplates_r3_model_1_ptm_pred_4.pdb,0.483
afm_dropout_full_woTemplates_model_1_ptm_pred_25.pdb,0.483
afm_woTemplates_model_2_ptm_pred_50.pdb,0.483
afm_dropout_noSM_woTemplates_model_2_ptm_pred_64.pdb,0.483
cf_woTemplates_model_5_ptm_pred_65.pdb,0.483
cf_woTemplates_model_4_ptm_pred_51.pdb,0.483
cf_woTemplates_model_3_ptm_pred_15.pdb,0.483
afm_dropout_noSM_woTemplates_model_2_ptm_pred_57.pdb,0.483
cf_dropout_full_woTemplates_model_2_ptm_pred_36.pdb,0.483
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_36.pdb,0.483
cf_dropout_full_woTemplates_model_2_ptm_pred_23.pdb,0.483
cf_dropout_full_woTemplates_model_5_ptm_pred_54.pdb,0.483
afm_woTemplates_model_2_ptm_pred_49.pdb,0.483
afm_dropout_full_woTemplates_model_2_ptm_pred_60.pdb,0.483
afm_dropout_full_woTemplates_model_2_ptm_pred_3.pdb,0.483
cf_dropout_full_woTemplates_model_2_ptm_pred_60.pdb,0.483
afm_woTemplates_model_2_ptm_pred_52.pdb,0.483
afm_dropout_noSM_woTemplates_model_1_ptm_pred_43.pdb,0.483
cf_dropout_full_woTemplates_model_5_ptm_pred_45.pdb,0.483
cf_dropout_full_woTemplates_model_2_ptm_pred_27.pdb,0.483
cf_dropout_full_woTemplates_model_3_ptm_pred_45.pdb,0.483
afm_basic_model_4_ptm_pred_32.pdb,0.483
afm_dropout_noSM_woTemplates_model_2_ptm_pred_61.pdb,0.483
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_30.pdb,0.483
