model_name,oligo_gdtts
afm_dropout_noSM_woTemplates_model_3_ptm_pred_166.pdb,0.848
afm_dropout_full_woTemplates_model_3_ptm_pred_10.pdb,0.848
afm_dropout_full_model_3_ptm_pred_61.pdb,0.848
afm_basic_model_3_ptm_pred_83.pdb,0.848
afm_dropout_full_model_3_ptm_pred_193.pdb,0.848
afm_dropout_full_model_3_ptm_pred_27.pdb,0.848
afm_dropout_full_woTemplates_model_3_ptm_pred_106.pdb,0.846
afm_basic_model_3_ptm_pred_133.pdb,0.846
afm_dropout_full_model_3_ptm_pred_164.pdb,0.846
afm_dropout_noSM_woTemplates_model_3_ptm_pred_167.pdb,0.846
afm_dropout_full_woTemplates_model_3_ptm_pred_52.pdb,0.844
afm_dropout_full_model_3_ptm_pred_51.pdb,0.844
afm_dropout_full_model_3_ptm_pred_52.pdb,0.844
afm_dropout_full_model_3_ptm_pred_129.pdb,0.844
afm_dropout_full_model_3_ptm_pred_166.pdb,0.844
afm_dropout_full_model_3_ptm_pred_45.pdb,0.844
afm_woTemplates_model_3_ptm_pred_2.pdb,0.844
afm_dropout_full_woTemplates_model_3_ptm_pred_187.pdb,0.844
afm_basic_model_3_ptm_pred_140.pdb,0.842
afm_dropout_full_woTemplates_model_3_ptm_pred_188.pdb,0.842
afm_dropout_noSM_woTemplates_model_3_ptm_pred_151.pdb,0.84
afm_woTemplates_model_3_ptm_pred_136.pdb,0.84
afm_dropout_noSM_woTemplates_model_3_ptm_pred_97.pdb,0.84
afm_dropout_full_woTemplates_model_3_ptm_pred_27.pdb,0.84
afm_basic_model_3_ptm_pred_115.pdb,0.838
afm_dropout_full_woTemplates_model_3_ptm_pred_51.pdb,0.836
afm_dropout_noSM_woTemplates_model_3_ptm_pred_130.pdb,0.836
afm_dropout_full_woTemplates_model_3_ptm_pred_41.pdb,0.836
afm_basic_model_3_ptm_pred_200.pdb,0.834
afm_woTemplates_model_3_ptm_pred_58.pdb,0.834
afm_dropout_noSM_woTemplates_model_3_ptm_pred_12.pdb,0.832
afm_woTemplates_model_3_ptm_pred_60.pdb,0.83
afm_dropout_noSM_woTemplates_model_3_ptm_pred_121.pdb,0.83
afm_dropout_full_woTemplates_model_3_ptm_pred_84.pdb,0.828
afm_basic_model_3_ptm_pred_22.pdb,0.828
afm_woTemplates_model_3_ptm_pred_179.pdb,0.828
afm_woTemplates_model_3_ptm_pred_68.pdb,0.828
afm_dropout_noSM_woTemplates_model_3_ptm_pred_52.pdb,0.826
afm_dropout_noSM_woTemplates_model_3_ptm_pred_89.pdb,0.824
afm_dropout_full_woTemplates_model_5_ptm_pred_75.pdb,0.822
afm_dropout_noSM_woTemplates_model_3_ptm_pred_99.pdb,0.822
afm_dropout_full_model_3_ptm_pred_37.pdb,0.82
afm_dropout_full_woTemplates_model_3_ptm_pred_56.pdb,0.82
afm_basic_model_3_ptm_pred_159.pdb,0.82
afm_basic_model_3_ptm_pred_126.pdb,0.818
cf_dropout_full_woTemplates_model_3_ptm_pred_66.pdb,0.818
afm_dropout_full_woTemplates_model_3_ptm_pred_25.pdb,0.816
afm_basic_model_5_ptm_pred_176.pdb,0.811
afm_dropout_full_woTemplates_model_3_ptm_pred_64.pdb,0.805
afm_dropout_full_model_3_ptm_pred_133.pdb,0.805
afm_dropout_full_woTemplates_model_5_ptm_pred_184.pdb,0.801
afm_basic_model_3_ptm_pred_118.pdb,0.797
afm_dropout_noSM_woTemplates_model_3_ptm_pred_62.pdb,0.77
afm_dropout_full_model_3_ptm_pred_29.pdb,0.766
afm_basic_model_3_ptm_pred_16.pdb,0.766
afm_dropout_full_woTemplates_model_3_ptm_pred_60.pdb,0.766
