model_name,rmsd
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_46.pdb,79.762
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_10.pdb,79.752
afm_dropout_full_model_4_multimer_v2_pred_3.pdb,79.604
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_17.pdb,79.447
afm_woTemplates_model_4_multimer_v2_pred_57.pdb,79.41
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_54.pdb,79.322
afm_dropout_full_model_4_multimer_v2_pred_58.pdb,79.19
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_10.pdb,79.187
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_1.pdb,79.092
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_12.pdb,78.93
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_28.pdb,78.881
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_11.pdb,78.811
afm_dropout_full_model_4_multimer_v2_pred_57.pdb,78.604
afm_woTemplates_model_1_multimer_v2_pred_14.pdb,78.481
afm_woTemplates_model_4_multimer_v2_pred_26.pdb,78.138
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_53.pdb,78.124
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_43.pdb,78.095
afm_dropout_full_model_4_multimer_v2_pred_46.pdb,77.983
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_4.pdb,77.915
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_61.pdb,77.767
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_16.pdb,77.755
afm_woTemplates_model_1_multimer_v2_pred_56.pdb,77.545
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_48.pdb,77.374
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_21.pdb,77.302
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_7.pdb,77.268
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_4.pdb,77.187
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_42.pdb,77.165
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_26.pdb,77.11
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_31.pdb,76.983
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_62.pdb,76.829
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_32.pdb,76.776
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_2.pdb,76.737
afm_dropout_full_model_4_multimer_v2_pred_66.pdb,76.644
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_25.pdb,76.623
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_42.pdb,76.616
afm_dropout_full_model_4_multimer_v2_pred_11.pdb,76.605
afm_basic_model_4_multimer_v2_pred_42.pdb,76.558
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_18.pdb,76.415
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_15.pdb,76.364
afm_woTemplates_model_1_multimer_v2_pred_39.pdb,76.311
afm_basic_model_4_multimer_v2_pred_29.pdb,76.254
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_15.pdb,76.241
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_53.pdb,76.183
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_29.pdb,76.181
afm_basic_model_1_multimer_v2_pred_43.pdb,76.128
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_34.pdb,76.102
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_22.pdb,76.079
afm_dropout_full_model_4_multimer_v2_pred_20.pdb,76.035
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_37.pdb,75.808
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_8.pdb,75.713
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_61.pdb,75.671
afm_woTemplates_model_4_multimer_v2_pred_2.pdb,75.61
afm_basic_model_4_multimer_v2_pred_17.pdb,75.601
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_44.pdb,75.47
cf_woTemplates_model_4_multimer_v2_pred_66.pdb,75.356
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_60.pdb,75.161
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_17.pdb,75.126
afm_basic_model_4_multimer_v2_pred_18.pdb,75.118
afm_basic_model_4_multimer_v2_pred_27.pdb,75.065
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_5.pdb,74.97
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_35.pdb,74.941
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_9.pdb,74.907
afm_basic_model_1_multimer_v2_pred_64.pdb,74.867
afm_woTemplates_model_4_multimer_v2_pred_50.pdb,74.865
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_16.pdb,74.809
cf_woTemplates_model_4_multimer_v2_pred_24.pdb,74.58
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_47.pdb,74.542
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_66.pdb,74.51
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_11.pdb,74.454
