model_name,ics
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_55.pdb,0.028
afm_woTemplates_model_3_multimer_v2_pred_62.pdb,0.028
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_34.pdb,0.028
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_45.pdb,0.028
afm_basic_model_2_multimer_v3_pred_52.pdb,0.028
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_37.pdb,0.028
afm_basic_model_5_multimer_v3_pred_34.pdb,0.028
cf_woTemplates_model_5_multimer_v3_pred_44.pdb,0.028
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_51.pdb,0.028
cf_woTemplates_model_3_multimer_v2_pred_44.pdb,0.028
afm_basic_model_5_multimer_v3_pred_66.pdb,0.028
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_39.pdb,0.028
cf_dropout_full_woTemplates_model_2_multimer_v3_pred_11.pdb,0.028
afm_woTemplates_model_3_multimer_v2_pred_57.pdb,0.028
afm_woTemplates_model_3_multimer_v2_pred_3.pdb,0.028
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_66.pdb,0.028
afm_basic_model_5_multimer_v3_pred_65.pdb,0.027
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_50.pdb,0.027
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_59.pdb,0.027
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_29.pdb,0.027
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_55.pdb,0.027
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_15.pdb,0.027
afm_woTemplates_model_1_multimer_v3_pred_60.pdb,0.027
cf_woTemplates_model_2_multimer_v2_pred_23.pdb,0.027
afm_basic_model_5_multimer_v3_pred_36.pdb,0.027
afm_woTemplates_model_3_multimer_v3_pred_16.pdb,0.027
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_56.pdb,0.027
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_33.pdb,0.027
afm_woTemplates_model_5_multimer_v3_pred_39.pdb,0.027
cf_woTemplates_model_5_multimer_v2_pred_63.pdb,0.027
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_36.pdb,0.027
afm_woTemplates_model_3_multimer_v3_pred_61.pdb,0.027
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_50.pdb,0.027
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_44.pdb,0.027
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_23.pdb,0.027
afm_woTemplates_model_3_multimer_v3_pred_47.pdb,0.026
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_2.pdb,0.026
afm_woTemplates_model_2_multimer_v3_pred_21.pdb,0.026
afm_basic_model_5_multimer_v3_pred_19.pdb,0.026
