model_name,dockq_ave
afm_woTemplates_model_5_multimer_v1_pred_3.pdb,0.102
afm_woTemplates_model_5_multimer_v1_pred_1.pdb,0.101
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_4.pdb,0.101
afm_dropout_full_model_5_multimer_v1_pred_1.pdb,0.101
afm_dropout_full_model_5_multimer_v1_pred_4.pdb,0.1
afm_dropout_full_model_5_multimer_v1_pred_2.pdb,0.1
afm_dropout_noSM_woTemplates_model_5_multimer_v1_pred_4.pdb,0.1
cf_woTemplates_model_5_multimer_v1_pred_1.pdb,0.099
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_3.pdb,0.098
afm_dropout_full_model_1_multimer_v2_pred_0.pdb,0.097
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_3.pdb,0.096
afm_dropout_full_model_2_multimer_v1_pred_2.pdb,0.096
cf_woTemplates_model_4_multimer_v2_pred_1.pdb,0.095
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_2.pdb,0.095
cf_woTemplates_model_5_multimer_v1_pred_3.pdb,0.095
afm_basic_model_4_multimer_v2_pred_1.pdb,0.095
afm_woTemplates_model_5_multimer_v2_pred_2.pdb,0.095
afm_basic_model_4_multimer_v2_pred_4.pdb,0.095
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_4.pdb,0.095
cf_woTemplates_model_5_multimer_v1_pred_2.pdb,0.095
afm_woTemplates_model_5_multimer_v2_pred_3.pdb,0.094
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_3.pdb,0.094
afm_basic_model_4_multimer_v1_pred_3.pdb,0.093
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_0.pdb,0.093
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_1.pdb,0.092
afm_woTemplates_model_5_multimer_v1_pred_0.pdb,0.091
afm_basic_model_5_multimer_v1_pred_3.pdb,0.09
afm_dropout_full_model_5_multimer_v1_pred_3.pdb,0.09
afm_dropout_full_model_4_multimer_v1_pred_1.pdb,0.09
afm_dropout_full_model_2_multimer_v1_pred_3.pdb,0.09
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_4.pdb,0.09
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_0.pdb,0.09
afm_dropout_full_model_5_multimer_v1_pred_0.pdb,0.09
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_1.pdb,0.089
