model_name,ics
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_0.pdb,0.064
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.063
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_2.pdb,0.059
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,0.059
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_1.pdb,0.057
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,0.055
afm_dropout_full_model_3_multimer_v2_pred_3.pdb,0.055
afm_woTemplates_model_2_multimer_v2_pred_3.pdb,0.053
afm_dropout_full_model_3_multimer_v2_pred_2.pdb,0.053
afm_dropout_full_model_4_multimer_v2_pred_1.pdb,0.051
afm_dropout_full_model_2_multimer_v2_pred_4.pdb,0.049
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_3.pdb,0.048
afm_dropout_full_model_5_multimer_v2_pred_1.pdb,0.046
afm_dropout_full_model_2_multimer_v2_pred_1.pdb,0.045
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_3.pdb,0.045
afm_dropout_full_model_2_multimer_v2_pred_3.pdb,0.044
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_4.pdb,0.04
afm_dropout_full_model_3_multimer_v2_pred_0.pdb,0.038
afm_dropout_full_model_4_multimer_v2_pred_3.pdb,0.038
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.037
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_4.pdb,0.033
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_4.pdb,0.03
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_3.pdb,0.029
afm_woTemplates_model_2_multimer_v2_pred_2.pdb,0.025
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.025
afm_dropout_full_model_4_multimer_v2_pred_4.pdb,0.024
afm_dropout_full_model_3_multimer_v2_pred_4.pdb,0.024
afm_dropout_full_model_4_multimer_v2_pred_0.pdb,0.014
afm_dropout_full_model_2_multimer_v2_pred_2.pdb,0.009
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.008
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_0.pdb,0.006
