model_name,oligo_gdtha
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_0.pdb,0.061
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_3.pdb,0.061
afm_dropout_full_model_3_multimer_v1_pred_3.pdb,0.061
afm_woTemplates_model_1_multimer_v1_pred_0.pdb,0.061
afm_basic_model_3_multimer_v1_pred_3.pdb,0.06
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.06
afm_woTemplates_model_1_multimer_v1_pred_4.pdb,0.06
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,0.06
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_3.pdb,0.059
afm_basic_model_3_multimer_v1_pred_2.pdb,0.059
afm_basic_model_3_multimer_v1_pred_1.pdb,0.059
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_4.pdb,0.059
afm_basic_model_3_multimer_v1_pred_0.pdb,0.059
afm_woTemplates_model_2_multimer_v2_pred_3.pdb,0.058
afm_dropout_full_model_3_multimer_v1_pred_2.pdb,0.058
afm_basic_model_2_multimer_v1_pred_3.pdb,0.056
afm_basic_model_3_multimer_v1_pred_4.pdb,0.056
cf_dropout_full_woTemplates_model_3_multimer_v2_pred_3.pdb,0.056
afm_basic_model_2_multimer_v1_pred_4.pdb,0.056
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_4.pdb,0.055
afm_basic_model_2_multimer_v1_pred_1.pdb,0.055
afm_basic_model_2_multimer_v1_pred_2.pdb,0.055
afm_woTemplates_model_1_multimer_v1_pred_2.pdb,0.055
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_2.pdb,0.054
afm_basic_model_2_multimer_v1_pred_0.pdb,0.053
afm_woTemplates_model_1_multimer_v1_pred_1.pdb,0.053
afm_dropout_full_model_1_multimer_v1_pred_1.pdb,0.052
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_0.pdb,0.052
afm_dropout_full_model_1_multimer_v1_pred_0.pdb,0.051
afm_woTemplates_model_3_multimer_v1_pred_4.pdb,0.051
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_2.pdb,0.051
afm_dropout_full_model_1_multimer_v1_pred_4.pdb,0.051
afm_dropout_full_model_1_multimer_v1_pred_3.pdb,0.05
afm_woTemplates_model_3_multimer_v1_pred_3.pdb,0.049
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_1.pdb,0.049
afm_woTemplates_model_3_multimer_v1_pred_2.pdb,0.049
afm_dropout_full_model_2_multimer_v1_pred_1.pdb,0.049
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_2.pdb,0.049
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_1.pdb,0.048
afm_dropout_full_model_2_multimer_v1_pred_3.pdb,0.048
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_4.pdb,0.048
cf_woTemplates_model_2_multimer_v1_pred_1.pdb,0.048
afm_dropout_full_model_2_multimer_v1_pred_4.pdb,0.048
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_0.pdb,0.048
afm_dropout_full_model_2_multimer_v1_pred_2.pdb,0.048
afm_woTemplates_model_3_multimer_v1_pred_0.pdb,0.047
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_3.pdb,0.046
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_2.pdb,0.046
afm_dropout_full_model_2_multimer_v1_pred_0.pdb,0.046
afm_woTemplates_model_3_multimer_v1_pred_1.pdb,0.046
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_0.pdb,0.045
afm_dropout_full_model_1_multimer_v1_pred_2.pdb,0.045
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_4.pdb,0.045
cf_woTemplates_model_2_multimer_v1_pred_0.pdb,0.045
cf_woTemplates_model_2_multimer_v1_pred_2.pdb,0.045
afm_woTemplates_model_2_multimer_v1_pred_0.pdb,0.044
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_3.pdb,0.044
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_2.pdb,0.043
afm_woTemplates_model_2_multimer_v1_pred_2.pdb,0.043
afm_woTemplates_model_2_multimer_v1_pred_1.pdb,0.043
afm_woTemplates_model_2_multimer_v1_pred_4.pdb,0.042
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_0.pdb,0.042
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_2.pdb,0.042
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_0.pdb,0.041
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_0.pdb,0.041
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_0.pdb,0.041
cf_dropout_full_woTemplates_model_2_multimer_v2_pred_1.pdb,0.04
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_2.pdb,0.04
afm_woTemplates_model_2_multimer_v1_pred_3.pdb,0.04
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_1.pdb,0.04
afm_dropout_full_woTemplates_model_1_multimer_v1_pred_4.pdb,0.039
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_3.pdb,0.039
cf_dropout_full_woTemplates_model_1_multimer_v1_pred_2.pdb,0.039
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_3.pdb,0.039
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_2.pdb,0.038
